x,y
15,34
16,34
15,35
16,35
17,35
18,35
19,35
20,35
15,36
16,36
17,36
18,36
19,36
20,36
21,36
22,36
15,37
17,37
18,37
19,37
20,37
21,37
22,37
23,37
16,38
18,38
19,38
20,38
21,38
22,38
23,38
16,39
18,39
19,39
20,39
21,39
22,39
23,39
24,39
19,40
20,40
21,40
22,40
23,40
37,40
19,41
20,41
21,41
22,41
23,41
34,41
35,41
19,42
20,42
21,42
22,42
23,42
28,42
29,42
30,42
35,42
36,42
37,42
20,43
21,43
22,43
23,43
24,43
28,43
29,43
39,43
40,43
21,44
22,44
23,44
24,44
25,44
26,44
27,44
28,44
39,44
43,44
23,45
24,45
25,45
26,45
27,45
28,45
26,46
27,46
28,46
29,46
30,46
31,46
45,46
29,47
30,47
31,47
31,48
38,48
30,49
31,49
36,49
37,49
38,49
39,49
40,49
41,49
42,49
43,49
32,50
33,50
34,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
33,51
35,51
36,51
37,51
38,51
39,51
40,51
41,51
42,51
43,51
44,51
45,51
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
35,53
36,53
37,53
38,53
39,53
40,53
41,53
42,53
43,53
44,53
35,54
36,54
37,54
38,54
39,54
40,54
41,54
42,54
34,55
35,55
36,55
37,55
38,55
39,55
40,55
41,55
42,55
33,56
34,56
35,56
36,56
37,56
38,56
39,56
33,57
34,57
35,57
36,57
37,57
38,57
39,57
33,58
34,58
35,58
36,58
37,58
38,58
39,58
33,59
34,59
35,59
36,59
37,59
38,59
39,59
33,60
34,60
35,60
36,60
37,60
34,61
35,61
36,61
37,61
34,62
35,62
36,62
37,62
35,63
36,63
37,63
38,63
39,63
42,63
35,64
36,64
37,64
38,64
39,64
40,64
41,64
42,64
36,65
37,65
38,65
39,65
40,65
41,65
42,65
43,65
36,66
37,66
38,66
39,66
40,66
41,66
42,66
43,66
44,66
45,66
37,67
38,67
39,67
41,67
42,67
43,67
44,67
45,67
39,68
40,68
41,68
42,68
43,68
44,68
45,68
46,68
40,69
41,69
42,69
43,69
44,69
45,69
46,69
47,69
40,70
41,70
42,70
43,70
44,70
45,70
46,70
47,70
41,71
42,71
43,71
44,71
45,71
46,71
47,71
40,72
41,72
42,72
43,72
44,72
45,72
46,72
47,72
48,72
41,73
42,73
43,73
44,73
45,73
46,73
47,73
48,73
49,73
41,74
42,74
43,74
44,74
45,74
46,74
47,74
48,74
49,74
50,74
41,75
42,75
43,75
44,75
45,75
46,75
47,75
48,75
49,75
50,75
41,76
42,76
43,76
44,76
45,76
46,76
47,76
48,76
49,76
41,77
42,77
43,77
44,77
45,77
46,77
47,77
48,77
49,77
41,78
42,78
43,78
44,78
45,78
46,78
47,78
48,78
49,78
50,78
41,79
42,79
43,79
44,79
45,79
46,79
47,79
48,79
49,79
50,79
51,79
41,80
42,80
43,80
44,80
45,80
46,80
47,80
48,80
49,80
50,80
51,80
41,81
42,81
43,81
44,81
45,81
46,81
47,81
48,81
49,81
41,82
42,82
43,82
44,82
45,82
46,82
47,82
48,82
49,82
41,83
42,83
43,83
44,83
45,83
46,83
47,83
48,83
41,84
42,84
43,84
44,84
45,84
46,84
47,84
42,85
43,85
44,85
45,85
46,85
43,86
44,86
45,86
46,86
42,87
43,87
44,87
45,87
46,87
42,88
43,88
44,88
45,88
43,89
44,89
45,89
46,89
47,89
43,90
44,90
45,90
46,90
43,91
44,91
45,91
46,91
44,92
45,92
46,92
47,92
45,93
46,93
47,93
48,93
47,94
48,94
49,94
