x,y
18,1
19,1
22,1
23,1
24,1
12,2
13,2
14,2
15,2
16,2
20,2
21,2
22,2
23,2
24,2
35,2
39,2
40,2
41,2
45,2
5,3
6,3
9,3
11,3
12,3
14,3
15,3
16,3
17,3
20,3
21,3
22,3
23,3
30,3
31,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
16,4
20,4
24,4
29,4
30,4
31,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
2,5
3,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
15,5
28,5
29,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
52,5
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
26,6
28,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
52,6
53,6
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
5,8
6,8
7,8
8,8
9,8
10,8
11,8
13,8
14,8
15,8
16,8
27,8
28,8
29,8
30,8
31,8
34,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,8
50,8
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
25,9
26,9
29,9
30,9
31,9
33,9
34,9
35,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
26,10
27,10
28,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
50,10
52,10
6,11
7,11
8,11
9,11
10,11
11,11
25,11
26,11
27,11
28,11
29,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,11
48,11
49,11
8,12
11,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,12
32,12
34,12
35,12
37,12
38,12
39,12
40,12
41,12
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,12
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
40,13
41,13
42,13
43,13
44,13
45,13
46,13
47,13
48,13
24,14
25,14
26,14
27,14
28,14
29,14
30,14
31,14
32,14
33,14
35,14
36,14
37,14
41,14
42,14
45,14
46,14
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
41,15
46,15
47,15
50,15
24,16
25,16
26,16
27,16
28,16
29,16
30,16
31,16
32,16
33,16
34,16
35,16
36,16
47,16
25,17
26,17
28,17
29,17
30,17
31,17
32,17
33,17
34,17
35,17
45,17
46,17
49,17
29,18
30,18
31,18
32,18
33,18
34,18
46,18
48,18
49,18
50,18
29,19
30,19
31,19
32,19
33,19
34,19
47,19
50,19
51,19
53,19
54,19
29,20
30,20
31,20
32,20
33,20
48,20
49,20
51,20
54,20
55,20
57,20
29,21
30,21
31,21
32,21
34,21
36,21
52,21
54,21
29,22
30,22
31,22
32,22
33,22
35,22
50,22
51,22
52,22
53,22
54,22
29,23
30,23
31,23
32,23
33,23
35,23
49,23
50,23
51,23
52,23
53,23
54,23
58,23
30,24
31,24
32,24
48,24
49,24
50,24
51,24
52,24
53,24
54,24
55,24
30,25
31,25
32,25
48,25
49,25
50,25
51,25
52,25
53,25
54,25
55,25
52,26
53,26
54,26
58,27
56,28
34,33
35,33
36,33
37,33
39,33
40,33
41,33
42,33
43,33
46,33
13,34
17,34
18,34
26,34
27,34
28,34
29,34
30,34
31,34
32,34
33,34
34,34
35,34
36,34
37,34
38,34
39,34
40,34
41,34
42,34
43,34
44,34
45,34
46,34
47,34
48,34
49,34
8,35
9,35
10,35
11,35
12,35
13,35
14,35
15,35
16,35
17,35
23,35
24,35
25,35
26,35
27,35
28,35
29,35
30,35
31,35
32,35
33,35
34,35
35,35
36,35
37,35
38,35
39,35
40,35
41,35
42,35
43,35
44,35
45,35
46,35
47,35
9,36
10,36
11,36
12,36
13,36
14,36
15,36
16,36
17,36
18,36
19,36
20,36
21,36
22,36
23,36
24,36
25,36
26,36
27,36
28,36
29,36
30,36
31,36
32,36
33,36
34,36
35,36
36,36
37,36
38,36
39,36
40,36
41,36
42,36
43,36
44,36
45,36
46,36
10,37
11,37
12,37
13,37
14,37
15,37
16,37
17,37
18,37
19,37
20,37
21,37
22,37
23,37
24,37
25,37
26,37
27,37
28,37
29,37
30,37
31,37
32,37
33,37
34,37
35,37
36,37
37,37
38,37
39,37
40,37
41,37
42,37
43,37
44,37
45,37
46,37
47,37
